ID,TITLE,URL,DATE,CONDITION,JOBSELECTOR
47480309,파이썬(Python) 백엔드 개발자 모십니다,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47480309&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c3bc06a-03b6-479d-8fb0-45b0fa8d7fa5,오늘마감오늘마감입사지원,서울  강남구경력무관고졸↑정규직·계약직,Python백엔드/서버개발앱개발프론트엔드Android
47463112,데이터분석/Python/JAVA/SAS 인재 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47463112&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c3bc06a-03b6-479d-8fb0-45b0fa8d7fa5,~ 02/27(화)입사지원,서울  강남구신입·경력대졸↑정규직,Python데이터분석가빅데이터클라우드Java
47396900,"특허데이터 분석(Python, 엑셀, PPT 활용) 직원 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47396900&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c3bc06a-03b6-479d-8fb0-45b0fa8d7fa5,~ 02/16(금)입사지원,서울  강남구경력무관대졸↑정규직,Python데이터분석가데이터시각화특허분석데이터분석
47444713,[인텔리전스랩스] 게임 이상탐지 백엔드 개발자 (Python),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47444713&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c3bc06a-03b6-479d-8fb0-45b0fa8d7fa5,채용시홈페이지 지원,경기  성남시 분당구경력학력무관정규직,Python백엔드/서버개발네트워크솔루션알고리즘
47492542,python 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47492542&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c3bc06a-03b6-479d-8fb0-45b0fa8d7fa5,상시채용입사지원,서울전체신입·경력초대졸↑정규직,Python백엔드/서버개발웹개발SE(시스템엔지니어)네트워크
46726552,"Data Engineer (Python, SQL)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46726552&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c3bc06a-03b6-479d-8fb0-45b0fa8d7fa5,상시채용점핏에서 지원,서울전체경력 3~7년대졸↑정규직,PythonSE(시스템엔지니어)데이터마이닝데이터시각화빅데이터
47347257,Python S/W 개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47347257&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c3bc06a-03b6-479d-8fb0-45b0fa8d7fa5,~ 02/09(금)입사지원,경기  고양시 일산동구신입·경력대졸↑정규직,PythonC#Linux임베디드리눅스솔루션
47426975,[코레이즈]  Python (Flask) 웹 개발자 채용 (신입-보충역),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47426975&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c3bc06a-03b6-479d-8fb0-45b0fa8d7fa5,채용시입사지원,서울  성동구신입·경력학력무관정규직·계약직,Python백엔드/서버개발웹개발프론트엔드DBMS
47437901,Python 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47437901&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c3bc06a-03b6-479d-8fb0-45b0fa8d7fa5,~ 02/29(목)입사지원,서울  강남구경력 2~20년학력무관정규직,Python백엔드/서버개발웹개발유지보수API
47399667,백엔드 엔지니어 (Python) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47399667&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c3bc06a-03b6-479d-8fb0-45b0fa8d7fa5,~ 02/16(금)입사지원,서울  강남구경력 3~5년대졸↑정규직,Python백엔드/서버개발RDBMSDockerGit
41068534,"[패스오더] 백엔드 개발자(Spring, Python, MSA)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=41068534&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c3bc06a-03b6-479d-8fb0-45b0fa8d7fa5,상시채용입사지원,서울  강남구신입·경력학력무관정규직,Python백엔드/서버개발웹개발SE(시스템엔지니어)인프라
47284051,python/Django 웹개발자 (신입/경력) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47284051&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c3bc06a-03b6-479d-8fb0-45b0fa8d7fa5,~ 02/23(금)입사지원,서울  송파구경력무관학력무관정규직,Python웹개발모델링클라우드Django
47428536,[안랩-제이슨] Python 파이썬 개발자 영입,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47428536&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c3bc06a-03b6-479d-8fb0-45b0fa8d7fa5,채용시입사지원,서울  마포구경력2년↑대졸↑정규직,Python데이터엔지니어빅데이터FlaskKeras
47324969,"빅데이터 시스템 개발-Python,Java(정규직) 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47324969&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c3bc06a-03b6-479d-8fb0-45b0fa8d7fa5,~ 02/07(수)입사지원,대전  대덕구신입·경력초대졸↑정규직,Python백엔드/서버개발웹개발SI개발데이터시각화
47426149,미래를 함께할 Python 개발자 신입 사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47426149&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c3bc06a-03b6-479d-8fb0-45b0fa8d7fa5,~ 03/22(금)입사지원,경기  안양시 동안구신입초대졸↑정규직,Python웹개발DjangoOracleDBPostgreSQL
47332138,Solution/SW 개발자 채용 - Java/Python(경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47332138&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=3c3bc06a-03b6-479d-8fb0-45b0fa8d7fa5,~ 03/31(일)입사지원,서울  강남구경력 3~10년학력무관정규직,Python웹개발프론트엔드S/WJava
